epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,52675.8,0.7814,0.32824,0.96881,0.9985,0.99945,0.99452,0.8507,0.7263,0.2298,0.9175,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,54194.4,0.78142,0.3279,0.96763,0.9985,0.99945,0.99452,0.85116,0.7259,0.22914,0.91731,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,55713.7,0.78077,0.32767,0.96891,0.99898,0.999,0.99452,0.85076,0.72516,0.22925,0.91753,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,57234.7,0.77941,0.32653,0.96776,0.9995,0.99896,0.99452,0.85016,0.72652,0.22971,0.91891,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,58756.6,0.77816,0.32563,0.96387,0.99945,0.999,0.99451,0.85116,0.72443,0.22824,0.9166,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,60278.3,0.77866,0.32403,0.96456,0.99943,0.999,0.99451,0.85228,0.72354,0.2283,0.91642,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,61799.8,0.777,0.32471,0.9656,0.99938,0.999,0.99451,0.85229,0.7228,0.22796,0.91649,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,63318.4,0.77787,0.32427,0.96487,0.9995,0.99896,0.9945,0.85266,0.72335,0.22788,0.91679,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,64839.2,0.7753,0.32243,0.96649,0.99892,0.999,0.9945,0.85359,0.72199,0.22798,0.9164,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,66362,0.77656,0.32396,0.96955,0.99894,0.999,0.9945,0.8528,0.72214,0.22794,0.9169,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,67884.2,0.77403,0.32201,0.96626,0.9985,0.99942,0.9945,0.85314,0.72083,0.22734,0.91637,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,69409.9,0.77258,0.32137,0.96327,0.9985,0.99942,0.99451,0.85483,0.72009,0.22718,0.9153,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,70979,0.77241,0.3212,0.96347,0.99948,0.999,0.9945,0.85466,0.71894,0.22602,0.91457,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,72554.9,0.77053,0.31996,0.96539,0.99929,0.9985,0.99451,0.85408,0.71899,0.2262,0.91503,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,75386.6,0.76986,0.31846,0.96013,0.9985,0.99946,0.99451,0.85433,0.71763,0.22569,0.91403,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
