epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2538.05,0.5036,0.25196,0.8396,0.98697,0.98406,0.99374,0.86969,0.60861,0.27524,0.88295,0.0011882,0.0011882,0.0011882
43,2653.53,0.50277,0.25357,0.84044,0.99588,0.98402,0.99382,0.86657,0.62586,0.28389,0.88329,0.0011684,0.0011684,0.0011684
44,2763.48,0.49893,0.2463,0.8393,0.98585,0.97411,0.9923,0.87048,0.58105,0.30408,0.87504,0.0011486,0.0011486,0.0011486
45,2868.93,0.50337,0.24886,0.84271,0.98699,0.98497,0.99368,0.87042,0.60718,0.28672,0.88206,0.0011288,0.0011288,0.0011288
46,2953.52,0.50497,0.25142,0.84124,0.99482,0.98501,0.99382,0.86161,0.62817,0.28267,0.88374,0.001109,0.001109,0.001109
47,2994.47,0.50599,0.25275,0.83989,0.98941,0.96204,0.99084,0.86827,0.58994,0.31308,0.87249,0.0010892,0.0010892,0.0010892
48,3035.43,0.49602,0.2458,0.8359,0.99395,0.98443,0.99377,0.87834,0.57713,0.27302,0.86879,0.0010694,0.0010694,0.0010694
49,3075.45,0.49743,0.24216,0.83989,0.99218,0.98302,0.99372,0.86914,0.59842,0.28033,0.87069,0.0010496,0.0010496,0.0010496
50,3116.46,0.49719,0.24438,0.83997,0.99493,0.97976,0.99369,0.8753,0.56754,0.26812,0.86527,0.0010298,0.0010298,0.0010298
51,3156.66,0.49139,0.24079,0.83862,0.98474,0.98601,0.99362,0.87279,0.58358,0.28101,0.87112,0.00101,0.00101,0.00101
52,3197.68,0.49428,0.24029,0.83779,0.99498,0.98996,0.99407,0.87697,0.57417,0.26324,0.86645,0.0009902,0.0009902,0.0009902
53,3238.78,0.49565,0.2432,0.83843,0.99396,0.98655,0.99385,0.87264,0.58993,0.27331,0.86927,0.0009704,0.0009704,0.0009704
54,3280.21,0.49139,0.23844,0.83774,0.99323,0.98601,0.99394,0.87004,0.61354,0.26996,0.87597,0.0009506,0.0009506,0.0009506
55,3321.17,0.48972,0.2382,0.83537,0.99095,0.985,0.99383,0.86764,0.61451,0.27969,0.87839,0.0009308,0.0009308,0.0009308
56,3362.81,0.48872,0.23494,0.83548,0.99555,0.97303,0.99298,0.8627,0.61502,0.27044,0.87719,0.000911,0.000911,0.000911
